,Size##LENGTH##MILLIMETERS,AirFlow##HVAC_AIR_FLOW##CUBIC_METERS_PER_HOUR,Pressure##HVAC_PRESSURE##PASCALS,MotorPower##ELECTRICAL_POWER##KILOWATTS,RPM##NUMBER##GENERAL
800/12/32.5/4Z,800,12000,500,5.5,1440
500/9/37.5/4Z,500,14000,500,7.5,2850
800/16/30/4Z,800,14000,500,7.5,1440
500/9//45/4Z,500,16000,500,11,2850
800/16/35/4Z,800,16000,500,7.5,1440
900/12/30/4Z,900,18000,500,7.5,1440
900/12/32.5/4Z,900,20000,500,7.5,1440
900/12/37.5/4Z,900,25000,500,11,1440
900/12/40/4Z,900,30000,500,11,1440
1000/12/35/5Z,1000,35000,500,15,1440
1000/12/37.5/5Z,1000,40000,500,15,1440
1000/16/37.5/5Z,1000,45000,500,18.5,1440
1000/10/40/4Z,1000,50000,500,22,1440
250/8/25/3H,250,500,300,0.18,2800
280/4-8/35/3H,280,750,300,0.37,2800
280/8/40/3H,280,1000,300,0.55,2800
315/4-8/40/3H,315,1250,300,0.55,2800
315/4-8/35/3H,315,1500,300,0.55,2800
315/6-10/30/3H,315,1750,300,0.55,2800
315/5-10/35/3H,315,2000,300,0.55,2800
315/8/35/3H,315,2500,300,0.75,2800
630/10/35/3H,630,2500,300,1.1,1420
315/8/40/3H,315,3000,300,0.75,2800
630/6-12/25/4Z,630,3000,300,1.1,1420
355/8/30/3H,355,3500,300,0.75,2800
630/9/20/4Z,630,3500,300,0.75,1420
355/4-6/45/3H,355,4000,300,1.1,2800
630/14/35/3H,630,4000,300,0.75,1420
355/5-10/45/3H,355,4500,300,1.5,2800
630/6-9/30/5Z,630,4500,300,1.5,1420
355/6/45/3H,355,5000,300,1.1,2800
630/9/25/4Z,630,5000,300,1.1,1420
400/6-12/35/3H,400,6000,300,1.5,2800
630/9/30/4Z,630,6000,300,1.5,1420
400/5-10/45/3H,400,7000,300,2.2,2800
710/12/20/4Z,710,7000,300,1.5,1420
400/10/40/3H,400,8000,300,2.2,2800
710/14/30/3H,710,8000,300,1.5,1420
450/5-10/40/3H,450,9000,300,2.2,2800
710/9/25/5Z,710,9000,300,2.2,1420
400/10/35/3H,400,10000,300,3,2800
710/6-12/32.5/5Z,710,10000,300,3,1420
450/10/40/3H,450,12000,300,4,2800
710/9/32.5/4Z,710,12000,300,3,1420
500/5-10/45/3H,500,14000,300,4,2800
710/9/36/4Z,710,14000,300,3,1420
500/,500,16000,300,5.5,2850
800/,800,16000,300,4,1420
1000/,1000,16000,300,4,940
500/,500,18000,300,7.5,2850
800/,800,18000,300,4,1420
1000/,1000,18000,300,5.5,940
800/,800,20000,300,4,1430
1000/,1000,20000,300,7.5,940
1120/,1120,20000,300,5.5,940
1250/,1250,20000,300,5.5,940
800/,800,25000,300,5.5,1430
1120/,1120,25000,300,7.5,940
1250/,1250,25000,300,5.5,940
900/,900,30000,300,7.5,1430
1120/,1120,30000,300,7.5,940
1250/,1250,30000,300,7.5,940
900/,900,35000,300,11,1440
1000/,1000,35000,300,7.5,1440
1120/,1120,35000,300,11,910
900/,900,40000,300,11,1430
1120/,1120,40000,300,11,940
1250/,1250,40000,300,11,940
900/,900,45000,300,15,1440
1000/,1000,45000,300,15,1440
1250/,1250,45000,300,11,910
900/,900,50000,300,18.5,1430
1250/,1250,50000,300,15,940
1000/,1000,55000,300,15,1440
1250/,1250,55000,300,15,940
